codigo;nome;custo;preco_mercado;origem(S=Shopee exato,V=Shopee c/ ressalva,L=outras lojas,E=estimado);obs;margem_%;lucro_R$
P65293;CHEMICALS ACIDBOOST 20ML;10,40;19,21;L;Fazenda Submersa/Cobasi/Terra Zoo/Pet Here (Shopee sem anúncio);84.7;8,81
P65292;CHEMICALS ALKAFLOW 20ML;11,44;18,59;L;Fazenda Submersa (1 loja);62.5;7,15
P65291;CHEMICALS AQUASHIELD 30ML;12,69;21,19;L;Fazenda Submersa (1 loja);67.0;8,50
P65294;CHEMICALS CLOROFREE 20ML;11,44;18,59;L;Fazenda Submersa (1 loja);62.5;7,15
P65433;CHEMICALS CRYSTAL CLEAR 20ML;10,40;19,20;E;pelo Acidboost;84.6;8,80
P65295;CHEMICALS PH CHECK 20ML;14,40;27,33;L;Fazenda Submersa/Barretos;89.8;12,93
P63429;BSF BLACK SOLDIER FLY FLAKES 30G;25,26;47,00;S;BSF Flakes 30g;86.1;21,74
P63506;BSF MONSTER FLOATING G 600G;57,41;82,65;S;2 anúncios;44.0;25,24
P64401;BSF MONSTER FLOATING P 35G;19,52;35,09;L;Fazenda Submersa (sem 35g na Shopee);79.8;15,57
P63505;BSF MONSTER FLOATING P 600G;57,41;88,35;S;4 anúncios (82,65 a 103,32);53.9;30,94
P62400;COLORS BLACK LINE 35G;21,78;40,00;V;título sem gramagem;83.7;18,22
P62401;COLORS BLACK LINE 95G;44,20;78,98;S;1 anúncio;78.7;34,78
P62403;COLORS FLAKES BLACK LINE 10G;15,16;25,70;E;sem 10g na Shopee;69.5;10,54
P62404;COLORS FLAKES BLACK LINE 30G;25,26;47,00;S;1 anúncio;86.1;21,74
P62399;DISCOS BLACK LINE 95G;38,46;65,00;E;sem anúncio;69.0;26,54
P63322;GARLIC BLACK LINE 300G;68,89;117,00;E;só há 35g (35,00);69.8;48,11
P61860;IMMUNITY BLACK LINE 90G;40,42;66,99;S;2 anúncios (59,97 e 74,00);65.7;26,57
P61850;KINGUIO BLACK LINE FLOATING 35G;19,58;36,00;S;1 anúncio;83.9;16,42
P63324;KINGUIO BLACK LINE FLOATING 400G;80,37;113,25;S;2 anúncios (102,52 e 123,98);40.9;32,88
P61852;KINGUIO BLACK LINE FLOATING 95G;36,51;63,63;L;Fazenda Submersa/Terra Zoo;74.3;27,12
P61667;MARINHOS BLACK LINE FLAKES 30G;25,63;41,30;L;Pró-Aquarista;61.1;15,67
P61437;MARINHOS BLACK LINE PELLETS M 120G;41,18;71,00;V;Shopee G 2mm 110g;72.4;29,82
P61438;MARINHOS BLACK LINE PELLETS M 45G;25,63;49,00;V;pelo P 45g;91.2;23,37
